time,distance,new_price
06:16,7.46,118493.82
19:57,8.13,123379.39
14:53,3.3,53809.8
10:38,7.11,98371.18
07:41,12.71,252859.13
20:27,4.77,76502.81
06:28,4.32,69243.2
18:42,3.89,87251.15
22:02,2.63,51058.71
10:51,6.83,106104.68
10:09,4.33,71222.39
23:58,4.16,75256.45
20:41,6.32,89138.36
03:13,6.62,118013.88
07:11,3.32,74476.86
23:46,3.36,59148.74
02:41,3.28,63631.07
21:29,12.89,204898.37
20:31,9.38,139069.93
01:31,6.38,115682.14
23:41,3.71,68061.67
11:31,3.94,61081.02
05:25,5.37,89920.69
01:50,13.53,261049.44
20:00,5.18,79178.35
00:55,5.78,111517.14
11:57,1.25,19290.2
21:41,5.1,75410.51
11:01,2.23,33933.96
16:16,3.51,82517.79
09:29,4.59,93954.68
15:55,3.85,63077.35
14:38,3.26,48581.27
14:06,3.28,53616.04
18:51,4.03,95345.97
11:26,3.95,62355.05
22:08,4.53,81050.0
19:21,4.36,66556.46
02:33,8.49,161518.25
04:45,1.61,29162.61
18:48,5.07,117597.37
06:00,4.64,73704.21
20:08,4.19,63027.47
08:19,3.15,66472.08
06:52,4.16,58607.33
17:18,1.98,43040.18
03:35,4.97,95491.89
13:59,5.44,87176.02
17:39,3.15,66282.98
08:44,11.83,261462.9
20:03,4.22,57286.19
01:08,4.58,81894.4
19:40,8.74,119755.77
14:21,13.08,214591.77
06:17,2.56,41956.99
11:11,3.36,51490.68
07:41,4.26,88028.86
14:42,3.09,46479.42
02:38,6.84,128536.89
13:08,2.93,41454.89
16:05,8.44,188484.58
03:18,6.12,114546.21
17:47,8.02,177947.94
07:46,2.93,57459.08
03:06,3.7,66676.74
01:15,7.02,131390.04
05:04,6.41,124603.66
21:15,3.88,52850.07
09:00,4.17,88053.36
03:50,3.61,64381.04
21:36,4.11,58524.41
17:38,2.77,63373.56
11:18,2.54,35580.44
01:53,7.41,128560.51
09:36,4.04,88347.89
03:16,7.97,142510.51
13:25,6.04,99504.35
15:21,5.24,76790.87
14:07,3.14,46785.08
07:32,2.45,49908.08
13:01,3.57,50673.99
22:29,9.64,185739.36
07:46,6.99,152007.57
20:19,3.4,49350.9
15:59,3.59,55953.49
12:17,2.82,46181.31
17:42,2.07,43881.92
14:56,4.72,67397.36
20:09,10.62,149730.44
23:23,10.68,204178.39
12:55,6.07,85258.63
08:03,3.32,67720.28
14:36,2.17,32853.03
12:03,7.56,116223.09
00:12,5.6,106066.74
06:24,3.83,56329.98
08:12,3.52,74273.67
23:17,6.05,117366.92
00:58,2.96,51557.85
11:23,5.05,71950.02
07:01,2.44,52680.93
23:47,13.66,256935.64
10:32,3.18,46868.01
18:57,6.2,134114.48
16:18,2.46,57455.99
07:08,4.13,88850.94
02:27,6.97,133419.49
02:34,7.77,147916.94
00:56,6.56,112351.64
04:38,4.18,79452.54
09:09,3.21,64330.38
06:00,2.61,42073.94
08:41,9.51,207330.06
06:20,4.72,71780.39
08:08,5.18,110914.07
07:59,8.03,159012.81
11:46,6.01,81849.29
01:14,4.21,73554.86
00:34,6.5,123316.67
15:56,3.28,48906.52
22:04,2.06,35431.58
22:40,9.08,172526.7
23:57,3.42,58820.27
04:21,3.85,72928.04
02:40,4.02,71841.51
11:22,3.32,49383.67
07:06,7.77,157934.74
21:55,5.4,87555.39
02:22,3.85,64552.63
00:43,2.37,40102.67
02:24,5.22,96030.46
04:26,1.32,25072.72
14:40,5.03,69411.48
13:05,8.77,137734.92
02:54,4.63,86684.41
00:33,8.19,149460.34
04:08,2.42,43535.14
22:59,12.42,216885.62
13:48,7.76,112903.68
06:32,5.69,88263.36
08:50,3.32,65445.08
14:59,3.06,46648.16
14:05,4.33,62012.37
09:36,8.18,170908.71
12:30,2.32,35234.18
18:33,4.51,106576.54
06:40,6.47,98578.34
16:28,7.13,154645.1
19:57,6.46,88748.94
03:13,2.21,40549.31
04:35,7.89,143128.2
22:35,4.63,85815.47
06:52,2.6,38748.76
12:14,4.43,70736.7
14:07,1.68,27368.94
10:25,5.98,81507.03
03:35,4.2,78758.99
12:47,2.37,32311.23
06:20,3.88,57510.67
18:27,3.15,70432.16
21:03,3.25,50640.49
01:15,1.45,25405.06
09:21,1.94,42660.1
12:11,4.0,58047.93
20:15,3.67,53259.27
05:50,7.29,125217.56
11:39,3.27,50819.11
11:37,3.44,47279.42
19:41,3.52,51426.79
10:36,4.06,58078.28
22:28,4.69,80635.9
06:17,3.66,50048.21
00:09,5.96,101799.03
00:41,14.16,252518.02
19:38,2.97,44526.13
12:17,5.45,78004.75
08:00,4.55,97565.29
02:38,7.56,132441.33
06:20,4.96,72431.44
05:00,3.12,58743.15
07:14,2.5,52952.32
08:03,6.08,135978.55
04:59,2.61,45820.96
00:19,8.1,153767.47
18:09,5.91,137193.93
09:22,4.68,103764.11
11:40,2.33,38066.92
23:33,6.28,103794.89
14:59,10.06,138449.33
21:45,3.62,56248.34
23:47,3.09,54649.96
08:32,4.28,93980.77
19:33,5.66,76617.04
16:38,3.44,80480.95
16:09,7.03,150393.85
19:53,11.65,167428.05
11:19,5.29,86733.94
06:00,3.81,52018.41
01:12,5.58,97992.59
02:00,8.07,135268.56
16:04,4.85,114365.93
04:15,5.71,106292.58
16:14,6.37,149181.3
23:48,2.89,52309.87
16:27,5.64,124452.37
16:30,2.29,48128.42
01:22,3.22,55893.14
01:47,7.95,143398.23
21:44,6.93,107330.35
22:42,3.92,67292.74
04:16,10.52,177895.83
00:48,2.33,39815.91
00:33,4.04,71037.41
18:12,5.14,110283.02
01:13,1.1,18678.07
20:10,4.14,56460.09
11:27,2.55,41046.93
05:41,2.58,44330.39
22:31,3.91,74181.7
03:34,1.8,32047.13
22:58,2.99,55049.06
10:30,1.82,24983.89
23:16,4.77,87016.63
16:46,4.72,103264.0
05:08,3.76,63196.52
23:09,7.38,141800.11
04:07,3.86,70768.53
19:20,4.43,63021.09
01:12,2.85,50596.83
05:58,1.42,24893.22
21:49,4.17,65021.15
10:04,3.9,59819.71
15:05,10.54,142883.62
15:29,6.26,88184.87
00:30,3.65,65376.26
08:16,4.81,100236.83
05:10,7.05,127313.94
15:19,5.8,90784.87
02:47,10.32,191465.67
19:08,3.02,44149.67
03:01,7.3,139619.15
18:36,3.63,76863.91
02:00,4.94,90122.22
18:03,3.39,80875.11
19:35,4.17,63232.26
06:53,4.98,74055.29
19:57,6.03,83817.49
08:24,4.62,101347.99
00:02,1.29,22783.54
07:08,4.31,93166.85
06:21,9.35,131743.01
17:22,4.3,90744.62
07:11,9.48,193558.45
00:09,4.22,73197.57
10:33,2.04,32920.53
17:42,3.61,85158.64
22:09,3.39,61361.83
09:29,4.0,78145.04
02:21,2.48,42579.64
06:05,4.46,68790.28
15:49,3.8,52501.66
15:01,8.53,133129.39
19:29,2.45,33122.93
16:01,5.07,116792.22
01:31,5.5,104765.11
00:41,6.6,118240.26
15:15,3.74,59739.72
11:11,5.0,79299.21
04:00,5.35,99005.97
04:52,1.97,35058.08
22:07,3.8,65875.33
08:47,4.41,97364.05
08:49,4.68,100264.99
02:12,4.65,87796.06
18:14,5.58,126365.81
15:52,11.81,165500.37
15:43,3.33,54702.01
02:07,5.42,92446.63
19:09,8.59,139455.06
23:45,1.82,31223.97
21:04,5.12,74929.03
23:49,1.93,34471.95
00:18,13.37,257503.57
23:46,5.82,111507.29
19:37,5.44,86854.66
10:58,1.76,25697.38
16:10,3.48,73179.71
07:52,3.49,75206.23
03:42,10.84,192221.29
05:19,6.45,121137.11
07:19,1.96,42919.14
19:20,5.67,83987.9
02:17,2.11,39624.12
